[Mesh]
[node_ids]     [x]            [y]         [z]         [connectivity]      [element_type]           
1              0.000000       0.0         0.0         (1,2)               EulerBernoulliBeamElement3DOF
2              0.800000       0.0         0.0         (2,3)               EulerBernoulliBeamElement3DOF
3              1.600000       0.0         0.0         (3,4)               EulerBernoulliBeamElement3DOF
4              2.400000       0.0         0.0         (4,5)               EulerBernoulliBeamElement3DOF
5              3.200000       0.0         0.0         (5,6)               EulerBernoulliBeamElement3DOF
6              4.000000       0.0         0.0         (6,7)               EulerBernoulliBeamElement3DOF
7              4.800000       0.0         0.0         (7,8)               EulerBernoulliBeamElement3DOF
8              5.600000       0.0         0.0         (8,9)               EulerBernoulliBeamElement3DOF
9              6.400000       0.0         0.0         (9,10)              EulerBernoulliBeamElement3DOF
10             7.200000       0.0         0.0         (10,11)             EulerBernoulliBeamElement3DOF
11             8.000000       0.0         0.0         -                   -                        
